u_law,u_skewness,x_law,tau,b,gamma_rif,theta_twostep,truth,rif_gap_pct,twostep_gap_pct
normal,0.0000,normal,0.05,0.5,0.4999987765,0.5000000000,0.5000000000,-0.0002,0.0000
normal,0.0000,normal,0.1,0.5,0.5000000938,0.5000000000,0.5000000000,0.0000,0.0000
normal,0.0000,normal,0.25,0.5,0.5000009523,0.5000000000,0.5000000000,0.0002,0.0000
normal,0.0000,normal,0.5,0.5,0.5000011562,0.5000000000,0.5000000000,0.0002,0.0000
normal,0.0000,normal,0.75,0.5,0.5000009523,0.5000000000,0.5000000000,0.0002,0.0000
normal,0.0000,normal,0.9,0.5,0.5000000938,0.5000000000,0.5000000000,0.0000,0.0000
normal,0.0000,normal,0.95,0.5,0.4999987765,0.5000000000,0.5000000000,-0.0002,0.0000
normal,0.0000,uniform,0.05,0.5,0.4591682339,0.5000000000,0.5000000000,-8.1664,0.0000
normal,0.0000,uniform,0.1,0.5,0.4816799592,0.5000000000,0.5000000000,-3.6640,0.0000
normal,0.0000,uniform,0.25,0.5,0.5112222946,0.5000000000,0.5000000000,2.2445,0.0000
normal,0.0000,uniform,0.5,0.5,0.5240675642,0.5000000000,0.5000000000,4.8135,0.0000
normal,0.0000,uniform,0.75,0.5,0.5112222946,0.5000000000,0.5000000000,2.2445,0.0000
normal,0.0000,uniform,0.9,0.5,0.4816799592,0.5000000000,0.5000000000,-3.6640,0.0000
normal,0.0000,uniform,0.95,0.5,0.4591682339,0.5000000000,0.5000000000,-8.1664,0.0000
normal,0.0000,Student t(5),0.05,0.5,0.5532223653,0.5000000000,0.5000000000,10.6445,0.0000
normal,0.0000,Student t(5),0.1,0.5,0.5106864212,0.5000000000,0.5000000000,2.1373,0.0000
normal,0.0000,Student t(5),0.25,0.5,0.4723635881,0.5000000000,0.5000000000,-5.5273,0.0000
normal,0.0000,Student t(5),0.5,0.5,0.4597050571,0.5000000000,0.5000000000,-8.0590,0.0000
normal,0.0000,Student t(5),0.75,0.5,0.4723635881,0.5000000000,0.5000000000,-5.5273,0.0000
normal,0.0000,Student t(5),0.9,0.5,0.5106864212,0.5000000000,0.5000000000,2.1373,0.0000
normal,0.0000,Student t(5),0.95,0.5,0.5532223653,0.5000000000,0.5000000000,10.6445,0.0000
normal,0.0000,chi-square(3),0.05,0.5,0.2915642533,0.5000000000,0.5000000000,-41.6871,0.0000
normal,0.0000,chi-square(3),0.1,0.5,0.3172086426,0.5000000000,0.5000000000,-36.5583,0.0000
normal,0.0000,chi-square(3),0.25,0.5,0.3707059649,0.5000000000,0.5000000000,-25.8588,0.0000
normal,0.0000,chi-square(3),0.5,0.5,0.4526909783,0.5000000000,0.5000000000,-9.4618,0.0000
normal,0.0000,chi-square(3),0.75,0.5,0.5725054390,0.5000000000,0.5000000000,14.5011,0.0000
normal,0.0000,chi-square(3),0.9,0.5,0.7333847425,0.5000000000,0.5000000000,46.6769,0.0000
normal,0.0000,chi-square(3),0.95,0.5,0.8662182051,0.5000000000,0.5000000000,73.2436,0.0000
normal,0.0000,exponential,0.05,0.5,0.2640965395,0.5000000000,0.5000000000,-47.1807,0.0000
normal,0.0000,exponential,0.1,0.5,0.2900295228,0.5000000000,0.5000000000,-41.9941,0.0000
normal,0.0000,exponential,0.25,0.5,0.3456084044,0.5000000000,0.5000000000,-30.8783,0.0000
normal,0.0000,exponential,0.5,0.5,0.4346585347,0.5000000000,0.5000000000,-13.0683,0.0000
normal,0.0000,exponential,0.75,0.5,0.5730891146,0.5000000000,0.5000000000,14.6178,0.0000
normal,0.0000,exponential,0.9,0.5,0.7736942416,0.5000000000,0.5000000000,54.7388,0.0000
normal,0.0000,exponential,0.95,0.5,0.9509478765,0.5000000000,0.5000000000,90.1896,0.0000
normal,0.0000,lognormal,0.05,0.5,0.1754692251,0.5000000000,0.5000000000,-64.9062,0.0000
normal,0.0000,lognormal,0.1,0.5,0.1945934496,0.5000000000,0.5000000000,-61.0813,0.0000
normal,0.0000,lognormal,0.25,0.5,0.2379949966,0.5000000000,0.5000000000,-52.4010,0.0000
normal,0.0000,lognormal,0.5,0.5,0.3156429787,0.5000000000,0.5000000000,-36.8714,0.0000
normal,0.0000,lognormal,0.75,0.5,0.4611935192,0.5000000000,0.5000000000,-7.7613,0.0000
normal,0.0000,lognormal,0.9,0.5,0.7444327843,0.5000000000,0.5000000000,48.8866,0.0000
normal,0.0000,lognormal,0.95,0.5,1.0952833817,0.5000000000,0.5000000000,119.0567,0.0000
lognormal,4.7453,normal,0.05,0.5,0.5000005985,0.5000000000,0.5000000000,0.0001,0.0000
lognormal,4.7453,normal,0.1,0.5,0.5000010410,0.5000000000,0.5000000000,0.0002,0.0000
lognormal,4.7453,normal,0.25,0.5,0.5000013094,0.5000000000,0.5000000000,0.0003,0.0000
lognormal,4.7453,normal,0.5,0.5,0.5000013452,0.5000000000,0.5000000000,0.0003,0.0000
lognormal,4.7453,normal,0.75,0.5,0.5000011284,0.5000000000,0.5000000000,0.0002,0.0000
lognormal,4.7453,normal,0.9,0.5,0.5000001051,0.5000000000,0.5000000000,0.0000,0.0000
lognormal,4.7453,normal,0.95,0.5,0.4999888117,0.5000000000,0.5000000000,-0.0022,0.0000
lognormal,4.7453,uniform,0.05,0.5,0.3027409791,0.5000000000,0.5000000000,-39.4518,0.0000
lognormal,4.7453,uniform,0.1,0.5,0.4180306065,0.5000000000,0.5000000000,-16.3939,0.0000
lognormal,4.7453,uniform,0.25,0.5,0.6020306908,0.5000000000,0.5000000000,20.4061,0.0000
lognormal,4.7453,uniform,0.5,0.5,0.5876797795,0.5000000000,0.5000000000,17.5360,0.0000
lognormal,4.7453,uniform,0.75,0.5,0.4422642958,0.5000000000,0.5000000000,-11.5471,0.0000
lognormal,4.7453,uniform,0.9,0.5,0.4564157945,0.5000000000,0.5000000000,-8.7168,0.0000
lognormal,4.7453,uniform,0.95,0.5,0.4680957657,0.5000000000,0.5000000000,-6.3808,0.0000
lognormal,4.7453,Student t(5),0.05,0.5,0.5960193230,0.5000000000,0.5000000000,19.2039,0.0000
lognormal,4.7453,Student t(5),0.1,0.5,0.4896323378,0.5000000000,0.5000000000,-2.0735,0.0000
lognormal,4.7453,Student t(5),0.25,0.5,0.4165608591,0.5000000000,0.5000000000,-16.6878,0.0000
lognormal,4.7453,Student t(5),0.5,0.5,0.4266737035,0.5000000000,0.5000000000,-14.6653,0.0000
lognormal,4.7453,Student t(5),0.75,0.5,0.4977458767,0.5000000000,0.5000000000,-0.4508,0.0000
lognormal,4.7453,Student t(5),0.9,0.5,0.5814672669,0.5000000000,0.5000000000,16.2935,0.0000
lognormal,4.7453,Student t(5),0.95,0.5,0.6190319193,0.5000000000,0.5000000000,23.8064,0.0000
lognormal,4.7453,chi-square(3),0.05,0.5,0.1409127124,0.5000000000,0.5000000000,-71.8175,0.0000
lognormal,4.7453,chi-square(3),0.1,0.5,0.1911872907,0.5000000000,0.5000000000,-61.7625,0.0000
lognormal,4.7453,chi-square(3),0.25,0.5,0.3062235449,0.5000000000,0.5000000000,-38.7553,0.0000
